City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Hovd,MN,2020-08-02 22:04:10,48.01,91.64,53.67,70,97,2.82,overcast clouds
168,Tautira,PF,2020-08-02 22:04:10,-17.73,-149.15,82.4,69,75,14.99,broken clouds
169,Hambantota,LK,2020-08-02 22:01:16,6.12,81.12,77.0,100,20,11.41,few clouds
170,Nabire,ID,2020-08-02 22:01:18,-3.37,135.48,75.56,89,28,4.83,scattered clouds
171,Margate,GB,2020-08-02 22:04:10,51.38,1.39,66.99,73,100,1.99,light rain
172,Kaduna,NG,2020-08-02 22:00:50,10.52,7.44,70.34,95,100,8.05,moderate rain
173,Faya,SA,2020-08-02 22:04:10,18.39,42.45,68.0,72,60,8.05,light rain
174,Enumclaw,US,2020-08-02 22:04:10,47.2,-121.99,84.0,43,92,3.0,overcast clouds
175,Esperance,AU,2020-08-02 22:04:10,-33.87,121.9,48.2,93,69,12.75,broken clouds
176,Yinchuan,CN,2020-08-02 22:04:11,38.47,106.27,76.96,20,78,9.95,broken clouds
177,Port Hardy,CA,2020-08-02 22:04:11,50.7,-127.42,57.2,100,90,4.7,moderate rain
178,Bambous Virieux,MU,2020-08-02 22:04:11,-20.34,57.76,69.8,68,75,12.75,broken clouds
179,Mahon,ES,2020-08-02 22:04:11,39.89,4.27,77.0,73,1,12.75,clear sky
180,Buala,SB,2020-08-02 22:04:11,-8.14,159.59,83.07,74,26,6.69,scattered clouds
181,Salme,NP,2020-08-02 22:04:11,28.04,85.09,71.6,100,75,3.36,light rain
182,Gijon,ES,2020-08-02 22:04:11,43.54,-5.66,66.99,74,100,1.72,overcast clouds
183,Sistranda,NO,2020-08-02 22:04:11,63.73,8.83,57.2,93,75,11.41,broken clouds
184,Sindor,RU,2020-08-02 22:04:12,62.86,51.89,49.59,98,99,7.7,overcast clouds
185,Vasai,IN,2020-08-02 22:04:12,19.47,72.8,80.6,94,75,8.05,haze
186,Sao Gabriel Da Cachoeira,BR,2020-08-02 22:04:12,-0.13,-67.09,82.92,65,52,1.79,broken clouds
187,Gurupa,BR,2020-08-02 22:04:12,-1.41,-51.64,82.08,65,57,3.24,broken clouds
188,Elliot,ZA,2020-08-02 22:04:12,-31.33,27.85,50.56,38,0,7.63,clear sky
189,Haines Junction,CA,2020-08-02 22:04:12,60.75,-137.51,64.54,46,100,11.21,overcast clouds
190,Saint George,US,2020-08-02 22:04:12,37.1,-113.58,107.01,9,1,10.29,clear sky
191,Maragogi,BR,2020-08-02 22:04:12,-9.01,-35.22,73.96,79,56,11.18,broken clouds
192,Svetlogorsk,BY,2020-08-02 22:04:13,52.63,29.73,54.68,87,58,2.08,broken clouds
193,Alyangula,AU,2020-08-02 22:04:13,-13.85,136.42,62.6,100,75,8.14,broken clouds
194,Hasaki,JP,2020-08-02 22:04:13,35.73,140.83,73.4,88,20,2.24,few clouds
195,Williams Lake,CA,2020-08-02 21:59:55,52.14,-122.14,73.4,43,75,5.17,broken clouds
196,Kurumkan,RU,2020-08-02 22:04:13,54.3,110.3,63.18,82,79,1.83,broken clouds
197,Carandai,BR,2020-08-02 22:04:13,-20.95,-43.81,53.2,85,0,5.37,clear sky
198,Tuatapere,NZ,2020-08-02 22:04:13,-46.13,167.68,47.12,81,77,3.47,broken clouds
199,Tres Arroyos,AR,2020-08-02 22:04:13,-38.37,-60.28,48.78,68,76,5.75,broken clouds
200,Ende,ID,2020-08-02 22:04:14,-8.84,121.66,70.36,68,95,2.62,overcast clouds
201,Hobyo,SO,2020-08-02 21:54:18,5.35,48.53,78.89,72,87,21.88,overcast clouds
202,Leh,IN,2020-08-02 22:04:14,34.17,77.58,61.41,33,0,4.32,clear sky
203,Thompson,CA,2020-08-02 22:03:05,55.74,-97.86,77.0,38,20,5.82,few clouds
204,Isangel,VU,2020-08-02 22:04:14,-19.55,169.27,70.92,63,5,11.74,clear sky
205,Krasnyy Chikoy,RU,2020-08-02 22:04:14,50.36,108.75,57.54,90,99,3.13,light rain
206,East London,ZA,2020-08-02 22:04:15,-33.02,27.91,75.27,19,0,11.74,clear sky
207,Fort Morgan,US,2020-08-02 22:04:15,40.25,-103.8,86.0,30,1,17.22,clear sky
208,Dolores,AR,2020-08-02 22:04:15,-36.31,-57.68,55.87,90,100,8.41,overcast clouds
209,Qasigiannguit,GL,2020-08-02 22:04:15,68.82,-51.19,46.4,70,4,8.05,clear sky
210,Ulaanbaatar,MN,2020-08-02 22:04:15,47.91,106.88,53.6,87,75,11.18,broken clouds
211,Lorengau,PG,2020-08-02 21:54:21,-2.02,147.27,82.89,78,96,12.33,light rain
212,Upernavik,GL,2020-08-02 22:04:15,72.79,-56.15,44.08,69,93,6.62,overcast clouds
213,Coquimbo,CL,2020-08-02 21:54:18,-29.95,-71.34,59.0,72,3,10.29,clear sky
214,Xining,CN,2020-08-02 22:04:11,36.62,101.77,55.53,58,25,2.91,scattered clouds
215,Rodrigues Alves,BR,2020-08-02 22:04:16,-7.74,-72.65,85.71,47,8,0.47,clear sky
216,Kahului,US,2020-08-02 21:59:46,20.89,-156.47,84.2,62,40,24.16,scattered clouds
217,Hudiksvall,SE,2020-08-02 22:04:16,61.73,17.1,62.01,93,81,3.62,broken clouds
218,Angoche,MZ,2020-08-02 22:04:16,-16.23,39.91,72.95,80,85,11.41,overcast clouds
219,Dinguiraye,GN,2020-08-02 22:04:16,11.3,-10.72,71.69,96,79,3.56,broken clouds
220,Olafsvik,IS,2020-08-02 21:54:22,64.89,-23.71,47.71,87,33,17.07,scattered clouds
221,Orsha,BY,2020-08-02 22:04:18,54.52,30.41,52.75,84,69,2.15,broken clouds
222,Piacabucu,BR,2020-08-02 22:04:18,-10.41,-36.43,72.93,83,10,9.04,clear sky
223,Gilgit,PK,2020-08-02 22:02:15,35.92,74.31,77.5,37,0,0.78,clear sky
224,Lalibela,ET,2020-08-02 22:04:18,12.03,39.03,58.05,89,63,1.16,light rain
225,Cerro Cama,PA,2020-08-02 22:04:18,9.03,-79.91,86.0,79,40,9.17,scattered clouds
226,Sur,OM,2020-08-02 22:00:11,22.57,59.53,83.32,72,0,11.03,clear sky
227,Kyabe,TD,2020-08-02 22:04:19,9.45,18.94,70.92,98,100,3.29,overcast clouds
228,Asaba,NG,2020-08-02 22:04:19,6.2,6.73,73.13,94,99,6.02,overcast clouds
229,Makubetsu,JP,2020-08-02 22:04:19,45.37,141.82,69.75,88,65,10.36,broken clouds
230,Perama,GR,2020-08-02 22:04:19,37.98,23.58,84.0,39,20,4.7,few clouds
231,Sao Joao Da Barra,BR,2020-08-02 21:54:22,-21.64,-41.05,69.8,68,3,5.82,clear sky
232,Saskylakh,RU,2020-08-02 22:04:19,71.92,114.08,63.88,73,65,3.49,light rain
233,Mossendjo,CG,2020-08-02 22:04:19,-2.95,12.73,66.29,84,62,4.47,broken clouds
234,Batagay,RU,2020-08-02 22:04:20,67.63,134.63,57.38,54,36,3.8,scattered clouds
235,Yatou,CN,2020-08-02 22:04:20,37.15,122.38,75.94,94,0,8.01,clear sky
236,Bintulu,MY,2020-08-02 21:59:54,3.17,113.03,77.0,88,40,8.05,scattered clouds
237,Namatanai,PG,2020-08-02 22:04:20,-3.67,152.43,81.84,79,24,7.45,light rain
238,Tukrah,LY,2020-08-02 22:04:20,32.53,20.58,77.52,88,0,4.43,clear sky
239,San Carlos De Bariloche,AR,2020-08-02 22:00:23,-41.15,-71.31,50.0,53,94,8.05,overcast clouds
240,Lompoc,US,2020-08-02 22:00:00,34.64,-120.46,69.8,68,0,14.99,clear sky
241,Bayji,IQ,2020-08-02 22:04:20,34.93,43.49,86.02,16,0,4.45,clear sky
242,Mosquera,CO,2020-08-02 22:01:14,4.71,-74.23,66.2,39,75,9.17,shower rain
